Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate	
0	-33609.96997077175	-33619.71818720493	9.748216433180279	-33619.71818720493	0.960700161383937	1.0457691187691707	1.0872162154155347	0.2497951412307652	0.2525247836143596	0.2634740549037718	0.23420602025110304	0.016074505861261225	0.9973793120517237	2.111337720504841E-4	0.014539072223728402	10.840769885767369	2.694171090510579	0.2485971443128625	
1	-33609.96997077175	-33619.71818720493	9.748216433180279	-33619.71818720493	0.960700161383937	1.0457691187691707	1.0872162154155347	0.2497951412307652	0.2525247836143596	0.2634740549037718	0.23420602025110304	0.016074505861261225	0.9973793120517237	2.111337720504841E-4	0.014539072223728402	10.840769885767369	2.694171090510579	0.2485971443128625	
2	-33606.43468026385	-33616.947744002835	10.513063738987423	-33616.947744002835	0.9750737173237836	1.0457691187691707	1.0872162154155347	0.24794110772964043	0.2566962029967718	0.254661300027624	0.24070138924596346	0.0012098407214639014	0.9997588581471245	1.5323561292735964E-6	0.001237760533719917	10.375756493463754	3.093270922074823	0.03421850534194688	
3	-33604.22115904226	-33615.16378505705	10.942626014788438	-33615.16378505705	0.9293440786033166	1.0457691187691707	1.0610410725904384	0.24303856100408464	0.25829625318602933	0.25740992528787704	0.24125526052200869	9.030965502605347E-4	0.9998386056693012	6.732251744142084E-7	8.20562504423245E-4	10.66000057955928	3.5032200847920714	0.2139312960019542	
4	-33604.22115904226	-33615.16378505705	10.942626014788438	-33615.16378505705	0.9293440786033166	1.0457691187691707	1.0610410725904384	0.24303856100408464	0.25829625318602933	0.25740992528787704	0.24125526052200869	9.030965502605347E-4	0.9998386056693012	6.732251744142084E-7	8.20562504423245E-4	10.66000057955928	3.5032200847920714	0.2139312960019542	
5	-33605.30989245924	-33614.851092059704	9.541199600461933	-33614.851092059704	0.9248272944300873	1.0457691187691707	1.0610410725904384	0.24303856100408464	0.2583910468414473	0.25731513163245906	0.24125526052200869	0.006316868536313417	0.9983206760583958	4.037800469178165E-5	0.006358667908725491	10.168296842639666	2.6648350642926046	0.19165388085995624	
6	-33605.30989245924	-33614.851092059704	9.541199600461933	-33614.851092059704	0.9248272944300873	1.0457691187691707	1.0610410725904384	0.24303856100408464	0.2583910468414473	0.25731513163245906	0.24125526052200869	0.006316868536313417	0.9983206760583958	4.037800469178165E-5	0.006358667908725491	10.168296842639666	2.6648350642926046	0.19165388085995624	
7	-33605.30989245924	-33614.851092059704	9.541199600461933	-33614.851092059704	0.9248272944300873	1.0457691187691707	1.0610410725904384	0.24303856100408464	0.2583910468414473	0.25731513163245906	0.24125526052200869	0.006316868536313417	0.9983206760583958	4.037800469178165E-5	0.006358667908725491	10.168296842639666	2.6648350642926046	0.19165388085995624	
8	-33605.30989245924	-33614.851092059704	9.541199600461933	-33614.851092059704	0.9248272944300873	1.0457691187691707	1.0610410725904384	0.24303856100408464	0.2583910468414473	0.25731513163245906	0.24125526052200869	0.006316868536313417	0.9983206760583958	4.037800469178165E-5	0.006358667908725491	10.168296842639666	2.6648350642926046	0.19165388085995624	
9	-33600.86884381283	-33610.817237986645	9.94839417381677	-33610.817237986645	0.954678541760526	1.0976187930676513	1.0641161004507982	0.24303856100408464	0.26288468829022066	0.25858944197175016	0.23548730873394422	0.009447754523390786	1.001743428654001	1.0580563771455076E-4	0.010280047823582451	10.7897353467574	3.236562546938142	0.03718268028659248	
10	-33600.86884381283	-33610.817237986645	9.94839417381677	-33610.817237986645	0.954678541760526	1.0976187930676513	1.0641161004507982	0.24303856100408464	0.26288468829022066	0.25858944197175016	0.23548730873394422	0.009447754523390786	1.001743428654001	1.0580563771455076E-4	0.010280047823582451	10.7897353467574	3.236562546938142	0.03718268028659248	
11	-33603.36699652785	-33610.2392242824	6.872227754543288	-33610.2392242824	0.973100985532551	1.0976187930676513	1.0641161004507982	0.24303856100408464	0.2707088966545112	0.2507652336074596	0.23548730873394422	0.06170135897372875	0.9869671523917709	0.0036104690330415155	0.06017294276327779	8.714348172989727	1.9404867359327242	0.5007250227630259	
12	-33603.36699652785	-33610.2392242824	6.872227754543288	-33610.2392242824	0.973100985532551	1.0976187930676513	1.0641161004507982	0.24303856100408464	0.2707088966545112	0.2507652336074596	0.23548730873394422	0.06170135897372875	0.9869671523917709	0.0036104690330415155	0.06017294276327779	8.714348172989727	1.9404867359327242	0.5007250227630259	
13	-33601.6028758657	-33609.412565384766	7.809689519070682	-33609.412565384766	0.9584613283749498	1.0976187930676513	1.0641161004507982	0.24559472547351402	0.2707088966545112	0.24729084203577834	0.2364055358361961	0.006883679234598864	1.000706426971941	3.870754286833661E-5	0.006223902312061626	8.498543090916586	2.765817014902653	0.42614605051670823	
14	-33586.82811267082	-33593.58482705737	6.756714386553153	-33593.58482705737	0.9844560314965116	0.9998817719080514	0.8937037751846254	0.2500425997616246	0.2564073942738083	0.25056820230525045	0.24298180365931638	0.03627513189294051	0.9882510269901528	0.001405242462058318	0.037695688719555843	8.19133046531745	3.33574550686413	0.3859493089474583	
15	-33583.731710527536	-33593.26918077012	9.537470242583309	-33593.26918077012	0.9993248579773356	1.0217107926976479	0.9040761432355582	0.24140683050969763	0.25512858191839616	0.25515606045254857	0.2483085271193574	0.0020295516872599452	0.9998392070893627	4.409412204479457E-6	0.002100297929332965	9.566224565275984	2.354384469055707	0.41967872087313735	
