Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate	
0	-6877.597582073285	-6857.969670019409	-19.62791205387537	-6857.969670019409	1.836723071747742	0.2570256056707039	0.24669272231431486	0.6422728792524312	0.11077279188188782	2.163780451265276	0.27374337442148183	0.2490380366966631	0.2381038059873225	0.23911478289453267	-8.241375617399239	0.274188362651959	0.696865330196983	
1	-6865.887474802261	-6851.239602834039	-14.64787196822203	-6851.239602834039	1.629860175381241	0.1251289857356838	0.03279205350447219	0.868683179326908	0.06171163576145357	1.2799434443911786	0.2607441778595583	0.26140844768169497	0.23877114826633242	0.23907622619241442	-6.7244477962963165	0.6078946081698321	0.04007114779191572	
2	-6865.887474802261	-6851.239602834039	-14.64787196822203	-6851.239602834039	1.629860175381241	0.1251289857356838	0.03279205350447219	0.868683179326908	0.06171163576145357	1.2799434443911786	0.2607441778595583	0.26140844768169497	0.23877114826633242	0.23907622619241442	-6.7244477962963165	0.6078946081698321	0.04007114779191572	
3	-6865.887474802261	-6851.239602834039	-14.64787196822203	-6851.239602834039	1.629860175381241	0.1251289857356838	0.03279205350447219	0.868683179326908	0.06171163576145357	1.2799434443911786	0.2607441778595583	0.26140844768169497	0.23877114826633242	0.23907622619241442	-6.7244477962963165	0.6078946081698321	0.04007114779191572	
4	-6865.887474802261	-6851.239602834039	-14.64787196822203	-6851.239602834039	1.629860175381241	0.1251289857356838	0.03279205350447219	0.868683179326908	0.06171163576145357	1.2799434443911786	0.2607441778595583	0.26140844768169497	0.23877114826633242	0.23907622619241442	-6.7244477962963165	0.6078946081698321	0.04007114779191572	
5	-6864.931164153085	-6851.070115837183	-13.86104831590197	-6851.070115837183	1.721008116448613	0.10740345924720583	0.009674187370396183	0.8445396150536982	0.06457650497918288	1.6671587709924727	0.251252237562417	0.26140844768169497	0.23877114826633242	0.24856816648955568	-6.9413412671135575	0.6708053339680192	0.014124090931458107	
6	-6863.21568871347	-6850.476484428957	-12.739204284512935	-6850.476484428957	2.0316999935395863	0.022539649492765903	0.009395338858052688	0.8445396150536982	0.0695779456180518	1.420010321352168	0.2440017080796516	0.25734599483269355	0.2500841305980992	0.24856816648955568	-7.444814754596161	0.36840282165524607	0.001818077987085566	
7	-6859.902856885513	-6849.243935465436	-10.658921420076592	-6849.243935465436	1.6216330757119333	0.004753657747649835	0.0058638113775717335	1.064135884803237	0.06125534888021827	1.2551752609034366	0.24074305385313924	0.26060464905920594	0.2500841305980992	0.24856816648955568	-7.306905651477023	0.8551749452861548	0.0524592389714474	
8	-6859.902856885513	-6849.243935465436	-10.658921420076592	-6849.243935465436	1.6216330757119333	0.004753657747649835	0.0058638113775717335	1.064135884803237	0.06125534888021827	1.2551752609034366	0.24074305385313924	0.26060464905920594	0.2500841305980992	0.24856816648955568	-7.306905651477023	0.8551749452861548	0.0524592389714474	
9	-6860.720477358355	-6848.622589186147	-12.097888172208183	-6848.622589186147	1.9739173130936793	0.005661136857648105	0.006619143377697656	1.064135884803237	0.08989567842735026	1.496408478218941	0.2463708394081881	0.2751828254859757	0.24405351538383832	0.2343928197219979	-7.906252036617533	0.21658609340132912	0.15212494825906736	
10	-6861.283931280596	-6847.100484252756	-14.183447027839865	-6847.100484252756	1.7446070774424642	0.006225471486500855	0.017553014243794574	0.8872742076258724	0.0823652209887061	1.0654357658152167	0.2485740149068614	0.2611393354283139	0.23800899227273392	0.25227765739209085	-9.61446243816904	0.6095363198453421	0.6319756714332966	
11	-6861.283931280596	-6847.100484252756	-14.183447027839865	-6847.100484252756	1.7446070774424642	0.006225471486500855	0.017553014243794574	0.8872742076258724	0.0823652209887061	1.0654357658152167	0.2485740149068614	0.2611393354283139	0.23800899227273392	0.25227765739209085	-9.61446243816904	0.6095363198453421	0.6319756714332966	
12	-6857.9846261744215	-6846.132562246819	-11.852063927602106	-6846.132562246819	1.737103775433412	0.001530808845077371	0.019320200275084562	0.8872742076258724	0.10754713522553544	1.0141221923881525	0.25262914950864135	0.2647230932113798	0.23931760109992023	0.24333015618005865	-8.321119468494478	0.9499023338792628	0.1589444311208916	
