Sample	posterior	ESS(posterior)	likelihood	prior	
0	-5614.507105118488	3.8	-5604.686396679803	-9.820708438685067	
1	-5614.507105118488	3.8	-5604.686396679803	-9.820708438685067	
2	-5614.507105118488	3.8	-5604.686396679803	-9.820708438685067	
3	-5610.137134491795	3.9	-5604.3709426907235	-5.766191801071345	
4	-5610.137134491795	3.9	-5604.3709426907235	-5.766191801071345	
5	-5609.242527245084	4.0	-5603.611838700914	-5.6306885441703525	
6	-5609.431536682296	4.1	-5603.414343145209	-6.017193537086043	
