Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-10626.04958385573	-10627.082188377373	N	-10626.04958385573	-1.0326045216418254
1	-8487.386129736504	-8489.71269416607	2.0	-8487.386129736504	-2.3265644295655123
2	-8174.54316177317	-8178.948293074336	3.0	-8174.54316177317	-4.40513130116617
3	-8141.676896275037	-8150.406533616427	4.0	-8141.676896275037	-8.729637341389862
4	-8126.428671616231	-8131.415502658961	5.0	-8126.428671616231	-4.9868310427288804
5	-7800.993461308826	-7807.112583839649	5.5	-7800.993461308826	-6.119122530823072
6	-7785.816667553847	-7793.246021497798	5.3	-7785.816667553847	-7.429353943951159
7	-7778.137797128383	-7785.744849515625	5.3	-7778.137797128383	-7.607052387242316
8	-7777.595830331258	-7784.062025280477	5.5	-7777.595830331258	-6.466194949219336
9	-7764.997034445986	-7774.128216611708	2.9	-7764.997034445986	-9.13118216572146
10	-7723.490547260338	-7733.514527315981	3.2	-7723.490547260338	-10.023980055642465
11	-7715.628731168038	-7722.43991648566	3.3	-7715.628731168038	-6.811185317622662
12	-7694.75886164764	-7700.694927781975	3.3	-7694.75886164764	-5.936066134335161
13	-7690.774810556168	-7697.103358797802	3.4	-7690.774810556168	-6.328548241634379
14	-7678.491116182828	-7685.498356097363	3.5	-7678.491116182828	-7.007239914535402
15	-7674.05541365097	-7681.337683233	3.6	-7674.05541365097	-7.282269582029503
16	-7668.346923485435	-7678.549557629239	3.7	-7668.346923485435	-10.20263414380372
17	-7654.761162355683	-7661.700051593169	3.8	-7654.761162355683	-6.9388892374855775
18	-7647.273246565715	-7653.248220915848	3.9	-7647.273246565715	-5.974974350132617
19	-7643.889536634849	-7650.6692302708225	3.8	-7643.889536634849	-6.779693635974088
20	-7640.441281016273	-7647.325543496095	3.9	-7640.441281016273	-6.884262479821481
21	-7637.044153758127	-7644.13523136559	3.9	-7637.044153758127	-7.091077607462626
22	-7636.526514580508	-7643.9345433679	4.0	-7636.526514580508	-7.408028787391924
23	-7636.079440621881	-7642.783904192862	4.1	-7636.079440621881	-6.704463570980463
24	-7634.723871527225	-7641.923447943517	4.1	-7634.723871527225	-7.199576416292235
25	-7632.535162745385	-7639.083716193271	4.1	-7632.535162745385	-6.548553447886865
26	-7629.9723978059255	-7636.448559657456	4.2	-7629.9723978059255	-6.476161851530521
27	-7621.252294611114	-7627.875727865354	4.2	-7621.252294611114	-6.623433254240127
28	-7600.255721495399	-7610.607993142304	4.3	-7600.255721495399	-10.352271646905027
29	-7598.650505078817	-7605.262380658999	4.6	-7598.650505078817	-6.611875580181278
30	-7597.705254684727	-7605.166608935729	4.6	-7597.705254684727	-7.461354251001915
31	-7596.80854808547	-7603.96003991688	4.6	-7596.80854808547	-7.1514918314107225
32	-7596.608404072819	-7603.559064310323	4.6	-7596.608404072819	-6.95066023750392
33	-7596.177602877593	-7603.551086596555	4.7	-7596.177602877593	-7.37348371896247
34	-7595.811780971413	-7602.992275200547	4.7	-7595.811780971413	-7.180494229133699
35	-7595.262613157672	-7601.970648833986	4.7	-7595.262613157672	-6.708035676314127
36	-7594.653977302167	-7601.600654173181	4.7	-7594.653977302167	-6.946676871014354
37	-7594.008718314928	-7601.0110783108485	4.7	-7594.008718314928	-7.00235999592025
38	-7593.6549538761765	-7600.629498705829	4.7	-7593.6549538761765	-6.974544829652929
39	-7593.584321152512	-7601.264772037697	4.4	-7593.584321152512	-7.680450885185829
40	-7593.443246255087	-7600.2287100251415	4.4	-7593.443246255087	-6.785463770054607
41	-7593.391767275366	-7600.313617774515	4.5	-7593.391767275366	-6.92185049914824
42	-7593.381571489691	-7600.58739126348	4.5	-7593.381571489691	-7.205819773789166
43	-7593.267528591317	-7600.379905892631	4.5	-7593.267528591317	-7.112377301313635
44	-7593.265353606268	-7600.372651738661	4.5	-7593.265353606268	-7.107298132393409
45	-7593.2476417236	-7601.525052712485	4.5	-7593.2476417236	-8.277410988885375
46	-7593.022007596763	-7600.186022472397	4.6	-7593.022007596763	-7.164014875634269
47	-7592.99444477281	-7599.953455695638	4.6	-7592.99444477281	-6.959010922827667
48	-7592.6228137318485	-7599.557632088255	4.6	-7592.6228137318485	-6.9348183564059624
49	-7592.609735840251	-7599.627907960517	3.2	-7592.609735840251	-7.018172120265958
50	-7592.527751708861	-7599.8416648103885	3.2	-7592.527751708861	-7.313913101527546
51	-7592.5159593019	-7600.410298747819	3.2	-7592.5159593019	-7.894339445919185
52	-7592.492486363217	-7599.449263215033	3.2	-7592.492486363217	-6.956776851815946
53	-7592.491783512549	-7599.546936885834	3.3	-7592.491783512549	-7.055153373284722
54	-7592.484146465227	-7599.7326948075	3.3	-7592.484146465227	-7.24854834227262
55	-7592.480226804808	-7599.458150115778	3.3	-7592.480226804808	-6.977923310969819
56	-7592.478505209599	-7600.089236803003	3.4	-7592.478505209599	-7.61073159340375
57	-7592.473617075337	-7599.458246685718	3.4	-7592.473617075337	-6.984629610381916
58	-7592.444973393132	-7599.354446476542	3.4	-7592.444973393132	-6.909473083409058
