Sample	posterior	ESS(posterior)	likelihood	prior	
0	-7610.607993142304	4.3	-7600.255721495399	-10.352271646905027	
1	-7610.607993142304	4.3	-7600.255721495399	-10.352271646905027	
2	-7605.262380658999	4.6	-7598.650505078817	-6.611875580181278	
3	-7605.166608935729	4.6	-7597.705254684727	-7.461354251001915	
4	-7605.166608935729	4.6	-7597.705254684727	-7.461354251001915	
5	-7605.166608935729	4.6	-7597.705254684727	-7.461354251001915	
6	-7603.96003991688	4.6	-7596.80854808547	-7.1514918314107225	
