#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment_1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment_1" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment_1" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment_1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment_1" name="distribution" x="@birthRate.t:twin_alignment_1">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:twin_alignment_1" name="distribution">
#            <parameter id="kappa1.s:twin_alignment_1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:twin_alignment_1" name="distribution">
#            <parameter id="kappa2.s:twin_alignment_1" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment_1" id="treeLikelihood.twin_alignment_1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment_1">
#            <siteModel id="SiteModel.s:twin_alignment_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment_1" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment_1" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment_1" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:twin_alignment_1" kappa1="@kappa1.s:twin_alignment_1" kappa2="@kappa2.s:twin_alignment_1" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:twin_alignment_1" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:twin_alignment_1" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment_1" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment_1" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-22900.07731089468	-22889.699355157412	-10.377955737268383	-22889.699355157412	1.7756832460670564	2.0	2.0	0.25	0.25	0.25	0.25	-6.64723566931981	1.0
1000	-15492.641395372899	-15491.192713418815	-1.4486819540832265	-15491.192713418815	0.9162608794336504	1.0564409043149907	2.0	0.24767527806777243	0.25	0.25	0.2523247219322276	1.8994908687471357	2.793191358803197
2000	-15405.162471855978	-15403.08334014792	-2.0791317080582603	-15403.08334014792	0.9545922060885181	1.0564409043149907	2.0	0.24767527806777243	0.25	0.25	0.2523247219322276	1.2690411147721017	4.129507082935697
3000	-15336.638569249795	-15334.963247883637	-1.6753213661568302	-15334.963247883637	0.9512266601352697	1.0564409043149907	1.499066543476187	0.2519448384941553	0.25	0.25	0.24805516150584475	1.467764059286286	3.578873138532084
4000	-15316.797198799508	-15315.554130236062	-1.2430685634466594	-15315.554130236062	0.94205864018734	1.0564409043149907	1.3093045791733124	0.2452128210199901	0.25	0.2567320174741652	0.24805516150584475	1.8220859349151368	3.6966402334800383
5000	-15318.769404028593	-15318.74610546417	-0.023298564422925105	-15318.74610546417	0.8411614724450269	1.0564409043149907	1.3093045791733124	0.2452128210199901	0.25	0.2567320174741652	0.24805516150584475	3.041855933938871	2.988140014262465
6000	-15313.694473663993	-15313.41494534264	-0.2795283213526998	-15313.41494534264	0.8964444059356581	1.0564409043149907	1.021124444981376	0.2452128210199901	0.24723441504955512	0.2567320174741652	0.2508207464562896	2.6730319804838096	3.168317478578019
7000	-15307.60151279706	-15307.192642024036	-0.40887077302413477	-15307.192642024036	0.8830935756206891	0.9968352319041649	1.021124444981376	0.2452128210199901	0.24723441504955512	0.2538394248378625	0.2537133390925923	2.5218209165266448	3.0013607798799575
8000	-15308.435025316183	-15306.969430621442	-1.4655946947407965	-15306.969430621442	0.9176135397122295	0.9968352319041649	1.0530084979111982	0.2482484830669737	0.2545627347583087	0.2508037627908789	0.24638501938383872	1.4768797498229258	2.2837609957692395
9000	-15309.56441912695	-15309.628573929795	0.06415480284602837	-15309.628573929795	0.8855957924805508	0.9968352319041649	1.0530084979111982	0.24237944597557173	0.25651002598078687	0.2547255086598027	0.24638501938383872	3.0066292474097507	3.1590711112227785
10000	-15313.032965922295	-15312.378065997333	-0.6548999249626115	-15312.378065997333	0.848401299226696	0.9968352319041649	1.0530084979111982	0.244941667173285	0.2539478047830736	0.2547255086598027	0.24638501938383872	2.287574519601111	4.053059024736181
11000	-15309.63060710495	-15309.400469067385	-0.23013803756416862	-15309.400469067385	0.8851851537748283	0.9968352319041649	1.0530084979111982	0.24632698506906714	0.2525624868872915	0.2547255086598027	0.24638501938383872	2.7123364069995537	3.74854335254863
12000	-15305.013789808501	-15305.188340627237	0.17455081873619638	-15305.188340627237	0.8463097721427049	0.9968352319041649	1.0530084979111982	0.24632698506906714	0.2525624868872915	0.2547255086598027	0.24638501938383872	3.1170252632999187	3.273464464026976
13000	-15301.353718631792	-15300.545464962668	-0.8082536691231303	-15300.545464962668	0.9246466981042523	0.9968352319041649	1.0286179024936977	0.24632698506906714	0.2525624868872915	0.2547255086598027	0.24638501938383872	2.125185139893463	2.757723069040614
14000	-15308.86136967859	-15305.790776810461	-3.07059286812891	-15305.790776810461	0.8599910382515572	0.9968352319041649	1.01418845281459	0.24632698506906714	0.2525624868872915	0.2547255086598027	0.24638501938383872	-0.14243114345113206	5.4427261513818594
15000	-15309.237664300013	-15308.929912227579	-0.3077520724348948	-15308.929912227579	0.8893462991088469	0.9968352319041649	1.01418845281459	0.24632698506906714	0.2525624868872915	0.2547255086598027	0.24638501938383872	2.6204096522428832	3.152063639180227
16000	-15305.007783735493	-15304.731078584815	-0.2767051506782159	-15304.731078584815	0.88574224715196	0.9968352319041649	1.01418845281459	0.24632698506906714	0.2525624868872915	0.2547255086598027	0.24638501938383872	2.651456573999562	3.1308339192306875
17000	-15311.035589181325	-15310.375906912863	-0.6596822684620003	-15310.375906912863	0.8875398992255548	0.9968352319041649	1.1594508352009727	0.2519283655989299	0.2525624868872915	0.24912412812993992	0.24638501938383872	2.32360893469712	3.3192964381139136
18000	-15310.676551588624	-15310.153808421535	-0.5227431670873963	-15310.153808421535	0.8868331609014191	0.9968352319041649	1.141504988819547	0.2519283655989299	0.2525624868872915	0.24912412812993992	0.24638501938383872	2.453533294963135	2.8423697769118776
19000	-15309.025561060897	-15307.950215299334	-1.0753457615620101	-15307.950215299334	0.9426793678747896	0.9968352319041649	1.141504988819547	0.2519283655989299	0.2525624868872915	0.2582970257967676	0.237212121717011	1.9009307004885212	3.4831054517241213
20000	-15307.322895662044	-15305.944825299053	-1.37807036299084	-15305.944825299053	0.8621155064528504	0.9968352319041649	1.141504988819547	0.2519283655989299	0.25522306918486065	0.25695186491561584	0.23589670030059368	1.5982060990596914	2.2368932820552856
21000	-15313.244435908666	-15311.600618935401	-1.643816973264325	-15311.600618935401	0.9808456638448807	0.9968352319041649	1.141504988819547	0.2519283655989299	0.25522306918486065	0.25695186491561584	0.23589670030059368	1.3324594887862062	3.005142494166555
22000	-15312.398814863142	-15312.225064255437	-0.17375060770386708	-15312.225064255437	0.8933051871703948	1.021639892088347	1.141504988819547	0.2519283655989299	0.258087916858776	0.25695186491561584	0.23303185262667833	2.8115177002939022	3.41700624232268
23000	-15311.496256342194	-15311.288906393276	-0.20734994891813252	-15311.288906393276	0.8788100267077107	1.021639892088347	1.141504988819547	0.2519283655989299	0.258087916858776	0.25695186491561584	0.23303185262667833	2.777918359079637	2.7948188216201313
24000	-15311.009750193396	-15310.654700341956	-0.35504985143995893	-15310.654700341956	0.8456783064546418	1.021639892088347	1.141504988819547	0.2519283655989299	0.258087916858776	0.25695186491561584	0.23303185262667833	2.6302184565578104	3.8970400757843655
25000	-15307.069742250344	-15306.65248525731	-0.4172569930339869	-15306.65248525731	0.8692090163891786	1.021639892088347	1.141504988819547	0.2519283655989299	0.26115581974572544	0.2538839620286664	0.23303185262667833	2.5680113149637824	3.338227287829651
26000	-15305.57317746393	-15305.229199603586	-0.34397786034454136	-15305.229199603586	0.8647805448533763	1.021639892088347	1.141504988819547	0.2519283655989299	0.26115581974572544	0.2538839620286664	0.23303185262667833	2.641290447653228	3.0823770204533174
