"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","strict","yule",-15395.6469887694,8.61328261010767,0.000292306310791482,7.33425543119783
"2","GTR","strict","birth_death",-15410.744507776,11.574756138678,8.1108990614481e-11,13.4652754311001
"3","HKY","strict","yule",-15401.5555719063,9.69302449759622,7.93913413356395e-07,8.13291186919833
"4","HKY","strict","birth_death",-15396.7409868557,9.23847001307945,9.78860625955405e-05,8.46240495314244
"5","JC69","strict","birth_death",-15389.7029994946,9.42660207919911,0.111501300871941,15.4889349197344
"6","TN93","strict","yule",-15387.6383611668,8.38778034076963,0.878903041043826,11.5460616774871
"7","TN93","strict","birth_death",-15392.197324602,8.04947098737691,0.00920467171632323,9.98396553730757
