#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_evidence" name="distribution" x="@birthRate.t:alignment_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_evidence" name="distribution">
#            <parameter id="kappa1.s:alignment_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_evidence" name="distribution">
#            <parameter id="kappa2.s:alignment_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_evidence" name="distribution">
#            <parameter id="ucldStdev.c:alignment_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.2" name="distr">
#                <parameter estimate="false" id="RealParameter.4" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.5" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_evidence" id="treeLikelihood.alignment_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_evidence">
#            <siteModel id="SiteModel.s:alignment_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_evidence" kappa1="@kappa1.s:alignment_evidence" kappa2="@kappa2.s:alignment_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_evidence" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_evidence">
#                <LogNormal S="@ucldStdev.c:alignment_evidence" id="LogNormalDistributionModel.c:alignment_evidence" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.6" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="8" id="rateCategories.c:alignment_evidence" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-7396.142616026792	-7408.532303663345	-7396.142616026792	-12.38968763655364	-7396.142616026792	4.358204077244185	0.7879551760039634	3.764095023806666	0.2644980086647433	0.2082714667776049	0.2543901628900071	0.27284036166764464	0.14992302457388024	0.9583029930923127	0.010706199091598362	0.10289249773897102	-8.995931047096663	0.18289928252368962
1	-7030.257750633297	-7038.97335975818	-7030.257750633297	-8.71560912488276	-7030.257750633297	1.9948906174678624	0.7879551760039634	5.5704682376605	0.26936940688576694	0.21125803811288585	0.2504851741798276	0.26888738082151964	0.02151976988980515	1.00539669300304	4.2954985370486623E-4	0.020780119819619445	-6.028985741632589	0.6218485879197523
2	-6994.873657935345	-7009.569028130176	-6994.873657935345	-14.695370194830096	-6994.873657935345	5.583885271839636	1.2091897682312085	10.07564042063606	0.275140064969695	0.21996171808323922	0.2367692759280103	0.26812894101905543	0.08807684601153548	1.0101434442567814	0.005915450555379375	0.07620134904308104	-10.060941385376374	0.1995807146595187
3	-6971.708845670097	-6989.885796951269	-6971.708845670097	-18.176951281172826	-6971.708845670097	19.031651123365226	0.46157797539094675	5.505248724025335	0.28745228776322557	0.20372809141432627	0.23741433646095864	0.27140528436148953	0.041840126057021705	1.0078101696154245	0.0020064923254701477	0.04449227827081691	-15.167585070868027	0.04690392361726289
4	-6969.248361752018	-6990.34858957198	-6969.248361752018	-21.10022781996127	-6969.248361752018	19.92561515201198	0.36377257825150516	5.505248724025335	0.2875252855500573	0.21042729386763964	0.22933072689660328	0.2727166936856998	0.4820061589110586	0.8477713433070015	0.2162371154819409	0.49269201244181826	-15.7627882727315	0.14367738759222623
5	-6965.0776898396825	-6979.31703501259	-6965.0776898396825	-14.239345172907923	-6965.0776898396825	8.59716388988656	0.6456629280137719	3.8561788140994198	0.2934020360859555	0.21042729386763964	0.2322176891197451	0.26395298092665975	0.0936767913156893	1.0385083166895954	0.010295670694947868	0.09902455938563363	-11.208619425866807	0.21723427197890863
6	-6954.512041473283	-6974.9542055407555	-6954.512041473283	-20.442164067472497	-6954.512041473283	35.404578959657925	1.2839065693177563	0.673120503917261	0.28645729208654575	0.2269319955345991	0.22814936359506754	0.25846134878378757	0.2100190802737844	0.8382350546438281	0.016872669905672176	0.14770647682255023	-17.690059765188185	0.04631474813048343
7	-6803.354419113428	-6811.638863827233	-6803.354419113428	-8.284444713804875	-6803.354419113428	1.6085286917615944	0.3902845428285589	1.3283763035452085	0.2683995147613399	0.21854152112239464	0.2298013037304933	0.2832576603857721	0.20027847154167705	1.1302731036334328	0.05055299574439991	0.205070685993959	-5.524709816202491	0.5062790510856984
8	-6742.411563206546	-6755.144602101771	-6742.411563206546	-12.733038895224851	-6742.411563206546	2.196175296913335	0.502552683749066	0.9418674800178841	0.2607154652518105	0.21796545785372434	0.23775101541322996	0.28356806148123515	1.0026840815608977	1.3545864688815181	0.5901529242965342	0.5615898113024134	-7.319846864791277	0.7917473898914701
9	-6734.121802449434	-6747.637049745989	-6734.121802449434	-13.51524729655516	-6734.121802449434	3.1822734489342506	0.5061622161568284	0.8676014707694667	0.2644834526942516	0.21836307225829835	0.23682677387421905	0.28032670117323094	0.5858090299304138	1.0597188521405612	0.20222815382226092	0.4424766938008802	-9.465894728235376	0.6987286917108791
10	-6683.820779426248	-6691.916660538968	-6683.820779426248	-8.095881112720578	-6683.820779426248	2.6918741260606582	0.36890686058667094	0.8676014707694667	0.2644834526942516	0.22434995354716591	0.23682677387421905	0.27433981988436335	0.0074621673383847426	0.9982531095342477	4.907457089523261E-5	0.007027069705821298	-7.513729523504384	1.0081610237230547
11	-6678.538219128152	-6688.325462820539	-6678.538219128152	-9.787243692385823	-6678.538219128152	1.1109743976588082	0.4018514912828518	1.2273774315642125	0.2536588372080195	0.23517456903339803	0.23682677387421905	0.27433981988436335	0.5205090658096101	1.0034294091339933	0.48943756657052484	0.5636166273915482	-5.7968995955680285	1.4573718243153144
12	-6673.765283367614	-6683.37590063991	-6673.765283367614	-9.610617272296157	-6673.765283367614	1.9730546889936162	0.9069968337952088	0.8763002586604516	0.275563237907925	0.23876500767389655	0.2298990010908596	0.25577275332731886	0.3232121627412222	0.8034773033965759	0.08854016207909654	0.3452593002838106	-6.455275859067456	0.8791657777891401
13	-6669.893084298826	-6674.601597408718	-6669.893084298826	-4.708513109891685	-6669.893084298826	1.157193559508917	1.168588729841308	1.7711887523190253	0.27490804719496614	0.24457783183055665	0.22990380945945804	0.25061031151501917	0.0014636625617789126	1.0003788091467931	1.235911880685572E-6	0.0011114397487489525	-4.4323442953135865	1.1484851968875889
