Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-7396.142616026792	-7408.532303663345	N	-7396.142616026792	-12.38968763655364
1	-7030.257750633297	-7038.97335975818	2.0	-7030.257750633297	-8.71560912488276
2	-6994.873657935345	-7009.569028130176	3.0	-6994.873657935345	-14.695370194830096
3	-6971.708845670097	-6989.885796951269	4.0	-6971.708845670097	-18.176951281172826
4	-6969.248361752018	-6990.34858957198	5.0	-6969.248361752018	-21.10022781996127
5	-6965.0776898396825	-6979.31703501259	5.7	-6965.0776898396825	-14.239345172907923
6	-6954.512041473283	-6974.9542055407555	5.9	-6954.512041473283	-20.442164067472497
7	-6803.354419113428	-6811.638863827233	5.9	-6803.354419113428	-8.284444713804875
8	-6742.411563206546	-6755.144602101771	5.2	-6742.411563206546	-12.733038895224851
9	-6734.121802449434	-6747.637049745989	2.9	-6734.121802449434	-13.51524729655516
10	-6683.820779426248	-6691.916660538968	2.8	-6683.820779426248	-8.095881112720578
11	-6678.538219128152	-6688.325462820539	2.5	-6678.538219128152	-9.787243692385823
12	-6673.765283367614	-6683.37590063991	2.3	-6673.765283367614	-9.610617272296157
13	-6669.893084298826	-6674.601597408718	2.3	-6669.893084298826	-4.708513109891685
14	-6660.107577303944	-6665.922918751103	2.3	-6660.107577303944	-5.815341447159065
15	-6655.41001308145	-6664.483981047015	2.4	-6655.41001308145	-9.073967965564849
16	-6648.5258094552555	-6656.1104181762985	2.5	-6648.5258094552555	-7.584608721042708
17	-6635.125730570253	-6641.8861149991135	2.5	-6635.125730570253	-6.7603844288602115
18	-6634.9953766567	-6642.526469394114	2.6	-6634.9953766567	-7.531092737414488
19	-6628.272678427381	-6635.850985079633	2.8	-6628.272678427381	-7.578306652251902
20	-6626.968866030361	-6633.479404141374	2.9	-6626.968866030361	-6.51053811101339
21	-6624.956563081784	-6630.342099658247	2.9	-6624.956563081784	-5.385536576463428
22	-6623.576700737289	-6630.441388783132	3.0	-6623.576700737289	-6.864688045843437
23	-6623.287300308289	-6631.579170382769	3.1	-6623.287300308289	-8.29187007448024
24	-6622.662839186523	-6628.140168692391	3.2	-6622.662839186523	-5.477329505867424
25	-6622.371399701124	-6629.778723320196	3.3	-6622.371399701124	-7.40732361907249
26	-6622.364101967506	-6629.228009870732	3.4	-6622.364101967506	-6.863907903226351
27	-6620.983042531313	-6627.177900344264	3.4	-6620.983042531313	-6.194857812951377
28	-6620.687982866711	-6627.868206735692	3.5	-6620.687982866711	-7.180223868981186
29	-6620.570346037698	-6627.509543598305	3.9	-6620.570346037698	-6.939197560606414
30	-6620.188013296179	-6627.403777770554	3.9	-6620.188013296179	-7.215764474375689
31	-6620.041769707764	-6626.798081690457	4.0	-6620.041769707764	-6.756311982693675
32	-6620.017880198117	-6627.377883645892	4.1	-6620.017880198117	-7.360003447774823
33	-6619.988839296355	-6626.4823876311	4.2	-6619.988839296355	-6.493548334745006
34	-6619.714022591818	-6627.0495396511305	4.3	-6619.714022591818	-7.335517059312222
35	-6619.6961560834625	-6627.124815365847	4.4	-6619.6961560834625	-7.428659282384211
36	-6619.692868526349	-6627.855777214824	4.5	-6619.692868526349	-8.162908688475298
37	-6619.686164263713	-6628.271681560705	4.6	-6619.686164263713	-8.585517296991585
38	-6619.6160027633705	-6630.697416321002	4.7	-6619.6160027633705	-11.08141355763144
39	-6619.6111043312585	-6627.967423996579	5.2	-6619.6111043312585	-8.356319665320052
40	-6619.607352282754	-6627.24058288296	5.3	-6619.607352282754	-7.633230600206253
41	-6619.580702875655	-6627.9624729427305	5.4	-6619.580702875655	-8.381770067074791
42	-6619.558915395808	-6629.833625200194	5.5	-6619.558915395808	-10.27470980438574
