Sample	posterior	ESS(posterior)	likelihood	prior	
0	-6633.479404141374	2.9	-6626.968866030361	-6.51053811101339	
1	-6630.342099658247	2.9	-6624.956563081784	-5.385536576463428	
2	-6630.342099658247	2.9	-6624.956563081784	-5.385536576463428	
3	-6630.342099658247	2.9	-6624.956563081784	-5.385536576463428	
4	-6630.441388783132	3.0	-6623.576700737289	-6.864688045843437	
5	-6630.441388783132	3.0	-6623.576700737289	-6.864688045843437	
6	-6628.140168692391	3.2	-6622.662839186523	-5.477329505867424	
7	-6627.509543598305	3.9	-6620.570346037698	-6.939197560606414	
