Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate	
0	-5568.85273083654	-5563.253272525565	-5.599458310974839	-5563.253272525565	0.9071358034627528	0.7873133957658489	1.0738787768013194	0.2579021077561193	0.2575435339552494	0.24369239513951885	0.240861963149112	-2.7157966031759853	1.0076285869149242	0.30727418743375556	
1	-5567.465727029973	-5561.783886362942	-5.681840667030891	-5561.783886362942	0.8779387138754348	0.8353465230506576	0.7636956657013189	0.26642086560914036	0.24322378302603084	0.24509576976536396	0.24525958159946445	-2.885880558969224	2.051612975306194	0.12991896164366004	
2	-5567.465727029973	-5561.783886362942	-5.681840667030891	-5561.783886362942	0.8779387138754348	0.8353465230506576	0.7636956657013189	0.26642086560914036	0.24322378302603084	0.24509576976536396	0.24525958159946445	-2.885880558969224	2.051612975306194	0.12991896164366004	
3	-5567.465727029973	-5561.783886362942	-5.681840667030891	-5561.783886362942	0.8779387138754348	0.8353465230506576	0.7636956657013189	0.26642086560914036	0.24322378302603084	0.24509576976536396	0.24525958159946445	-2.885880558969224	2.051612975306194	0.12991896164366004	
4	-5568.152843237933	-5561.727198126932	-6.4256451110004615	-5561.727198126932	1.1273421611455763	0.9826375593416766	0.8208974397486655	0.2592280657200844	0.24159170225489585	0.2600240596858473	0.23915617233917208	-3.5662727630718623	1.4163890236560714	0.36548965735073147	
5	-5567.12299498706	-5560.406728600248	-6.716266386811998	-5560.406728600248	1.094164254239427	0.7850729380508263	0.7724401642652726	0.2620327826367552	0.2382944555363913	0.2574398677438271	0.242232894083026	-3.932095983941516	2.0544729310265346	0.1144105282355116	
6	-5566.315265084795	-5560.239444751203	-6.0758203335915795	-5560.239444751203	0.9226580414304252	0.751180946107333	0.7724401642652726	0.26672387897029814	0.24445661329555182	0.2527487714102842	0.2360707363238655	-3.300079304618691	0.6918270398370931	0.08732862347112635	
7	-5566.315265084795	-5560.239444751203	-6.0758203335915795	-5560.239444751203	0.9226580414304252	0.751180946107333	0.7724401642652726	0.26672387897029814	0.24445661329555182	0.2527487714102842	0.2360707363238655	-3.300079304618691	0.6918270398370931	0.08732862347112635	
