Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-6278.661415175777	-6286.207088328002	N	-6278.661415175777	-7.545673152225028
1	-5409.806371750407	-5423.573116518255	2.0	-5409.806371750407	-13.766744767847829
2	-5361.432755516341	-5373.25321146166	3.0	-5361.432755516341	-11.82045594531926
3	-5272.926318295248	-5284.58584206283	4.0	-5272.926318295248	-11.659523767582264
4	-5226.785113098734	-5237.266578992638	5.0	-5226.785113098734	-10.481465893903653
5	-5180.221138449356	-5189.323282185066	4.7	-5180.221138449356	-9.102143735710786
6	-5142.9941119280675	-5149.984084307751	4.6	-5142.9941119280675	-6.989972379683682
7	-5137.847319483191	-5144.051517485823	4.8	-5137.847319483191	-6.204198002631826
8	-5131.843414651453	-5139.659476457557	5.0	-5131.843414651453	-7.816061806104244
9	-5129.212053815578	-5135.515294947105	2.7	-5129.212053815578	-6.303241131526963
10	-5125.0443388815065	-5130.567287298865	2.9	-5125.0443388815065	-5.522948417358973
11	-5124.917470180024	-5131.488888269449	3.1	-5124.917470180024	-6.571418089424732
12	-5124.276279149584	-5132.392536644719	3.2	-5124.276279149584	-8.116257495134915
13	-5121.237021889273	-5127.20755036745	3.3	-5121.237021889273	-5.970528478176659
14	-5119.525413034551	-5126.104911824443	3.4	-5119.525413034551	-6.579498789891462
15	-5118.77610500663	-5124.704504071316	3.6	-5118.77610500663	-5.928399064685127
16	-5117.652490328024	-5124.356321935262	3.8	-5117.652490328024	-6.703831607237232
17	-5117.292818230952	-5124.699350014658	4.0	-5117.292818230952	-7.406531783705951
18	-5116.980605787069	-5122.802235970821	4.2	-5116.980605787069	-5.821630183752163
19	-5116.065277873414	-5122.057885967095	4.8	-5116.065277873414	-5.992608093681256
20	-5115.9080089929885	-5121.776870160128	5.1	-5115.9080089929885	-5.86886116713957
21	-5115.895605524402	-5122.22819562491	5.3	-5115.895605524402	-6.3325901005086145
22	-5115.844721749936	-5121.759487462792	5.5	-5115.844721749936	-5.914765712856323
23	-5115.769912420705	-5121.829639166119	5.6	-5115.769912420705	-6.0597267454137524
24	-5115.725292200592	-5122.02058710335	5.8	-5115.725292200592	-6.295294902758431
25	-5115.6565076390825	-5122.154091845695	6.0	-5115.6565076390825	-6.497584206612708
26	-5115.521352251787	-5121.377174219091	6.2	-5115.521352251787	-5.855821967303971
27	-5114.922135528211	-5120.747269671887	6.4	-5114.922135528211	-5.825134143676638
28	-5114.829400961498	-5120.544562450912	6.6	-5114.829400961498	-5.715161489414165
29	-5114.788153574716	-5120.659390489343	6.6	-5114.788153574716	-5.87123691462765
30	-5114.782897103933	-5120.542250202497	6.8	-5114.782897103933	-5.75935309856416
31	-5114.731115238435	-5120.530021815767	6.9	-5114.731115238435	-5.798906577332194
32	-5114.578628777065	-5120.48491018294	7.1	-5114.578628777065	-5.906281405874881
33	-5114.54381036297	-5120.34454354125	7.2	-5114.54381036297	-5.800733178278776
34	-5114.459197402753	-5121.376354498895	7.4	-5114.459197402753	-6.917157096142542
35	-5114.434324146823	-5120.939241281517	7.6	-5114.434324146823	-6.504917134693666
36	-5114.410968879423	-5120.7612919661215	7.7	-5114.410968879423	-6.350323086697976
37	-5114.325935900056	-5121.143516521062	7.9	-5114.325935900056	-6.817580621006869
